iso3,year,source,1,2,3,4,5,N,3+,fi_0,fi_1,fi_2
KEN,2019,IPC/CH,4768702,6016128,2739334,357284,0,13881448,3096618,0.223076007632633,0.0829380815795778,0.0333656354389926
KEN,2020,IPC/CH,9694708,6332383,1483730,399531,0,17910352,1883261,0.105149301364931,0.0424855227114836,0.0191190112970545
KEN,2021,IPC/CH,7544472,5241475,1998688,367549,0,15152184,2366237,0.156164748263353,0.0601406371517136,0.0254373597598574
KEN,2022,IPC/CH,5370418,5109608,3142734,1211811,0,14834571,4354545,0.293540338982502,0.125076215550824,0.0598450291102677
LAC,2018,IPC/CH,205530,104180,85240,8000,0,402950,93240,0.231393473135625,0.0837490176614137,0.0323282458534971
LAC,2019,IPC/CH,199600,127870,70330,5200,0,403000,75530,0.18741935483871,0.0667741935483871,0.0251254480286738
LAC,2020,IPC/CH,168785,166604,119565,19483,0,474437,139048,0.293080008515356,0.111381841354419,0.0462529505732291
LAC,2021,IPC/CH,158968,166417,142776,17363,0,485524,160139,0.329827155815161,0.121862839598729,0.048567916084249
LAC,2022,IPC/CH,181738,185369,126420,21869,0,515396,148289,0.287718569798757,0.11005000685557,0.0461125469002907
LBR,2021,IPC/CH,2264674,1510122,776050,163331,0,4714177,939381,0.199267231586765,0.0779713334197394,0.0336897264004583
LSO,2017,IPC/CH,873335,316163,144270,80149,0,1413917,224419,0.158721480822425,0.0718024231031006,0.0365309829203396
LSO,2018,IPC/CH,702789,493990,216065,41415,0,1454259,257480,0.177052368250772,0.0685102630732673,0.0291652923508735
LSO,2019,IPC/CH,467695,553831,362504,71224,0,1455254,433728,0.298042815893308,0.115661824900212,0.0494300880350326
LSO,2020,IPC/CH,404447,478529,481725,100444,0,1465145,582169,0.397345655208188,0.155300442390799,0.0670014079000903
LSO,2021,IPC/CH,609763,536927,311868,16557,0,1475115,328425,0.222643658291048,0.0779559559763137,0.0284795874671918
LSO,2022,IPC/CH,609763,527840,311868,25643,0,1475114,337511,0.228803333166115,0.0820623581183104,0.0312171729702849
MDG,2017,IPC/CH,641319,722424,1175149,448605,0,2987497,1623754,0.543516529054255,0.23122578309981,0.110444332198865
MDG,2018,IPC/CH,1020524,1105025,860885,400439,0,3386873,1261324,0.372415499488761,0.163549386115157,0.0807903862287655
MDG,2019,IPC/CH,1365933,1280052,744782,171423,0,3562190,916205,0.257202732027208,0.101775218802665,0.0446190561299525
MDG,2020,IPC/CH,1191738,1654178,858496,204218,0,3908630,1062714,0.271889127392462,0.108045700582216,0.0476258944950021
MDG,2021,IPC/CH,463647,915231,801479,484022,27836,2692215,1313337,0.487827680924443,0.229430784688444,0.123322287080011
MDG,2022,IPC/CH,864725,1912243,1303605,333821,0,4414394,1637426,0.370928829642302,0.148849951620389,0.0664213228109881
MDG,2023,IPC/CH,1096493,2089808,1779639,284667,0,5250607,2064306,0.393155686571096,0.149123901293698,0.0617559709445657
MLI,2021,IPC/CH,16158897,3761599,921087,33848,0,20875431,954935,0.0457444447494282,0.0157886241167109,0.00562319195017126
MLI,2022,IPC/CH,15442554,4417117,1680684,156560,0,21696915,1837244,0.0846776603954986,0.0306311442586807,0.0118138863930143
MOZ,2017,IPC/CH,1096341,799090,762581,95895,0,2753907,858476,0.311730207301844,0.11551721487569,0.0462438354752801
MOZ,2018,IPC/CH,3065423,1251821,721658,169400,0,5208302,891058,0.171084165242338,0.0678697203042374,0.0298510169170511
MOZ,2019,IPC/CH,1693968,1600592,1424619,264796,0,4983975,1689415,0.338969396917119,0.130699625633489,0.0553730929852399
MOZ,2020,IPC/CH,151916,189738,132719,56247,0,530620,188966,0.356123025894237,0.154041812722224,0.074903362523505
MOZ,2021,IPC/CH,153387,261288,262899,99829,0,777403,362728,0.466589400864159,0.198334283076688,0.0946477495513195
MOZ,2022,IPC/CH,7128617,5947716,1419827,23553,0,14519713,1443380,0.0994083009767479,0.0336768134925716,0.0115860799421831
MRT,2021,IPC/CH,2733981,1036163,389393,20142,0,4179679,409535,0.0979824048688906,0.0342671450766115,0.0124932773279692
MRT,2022,IPC/CH,2044956,1434953,795937,83429,0,4359275,879366,0.20172299292887,0.073620422356164,0.0287930905941928
MWI,2017,IPC/CH,9935845,3111071,1042322,0,0,14089238,1042322,0.0739800122618413,0.0246600040872804,0.00822000136242681
MWI,2018,IPC/CH,6914285,5030032,2857245,449160,0,15250722,3306405,0.216803178236414,0.0820849662068458,0.0339064821543094
MWI,2019,IPC/CH,8539893,4314760,1862759,16650,0,14734062,1879409,0.127555388324007,0.0428951409778693,0.0145494991280899
MWI,2020,IPC/CH,8840896,6219071,2617989,0,0,17677956,2617989,0.148093422112828,0.0493644740376093,0.0164548246792031
MWI,2021,IPC/CH,8768789,6266629,2509092,133446,0,17677956,2642538,0.149482100758708,0.052343608050614,0.0191253634375679
MWI,2022,IPC/CH,8815303,6679660,3822502,0,0,19317465,3822502,0.197878034203763,0.0659593447345878,0.0219864482448626
NAM,2019,IPC/CH,1134930,849442,429277,0,0,2413649,429277,0.177853946452032,0.0592846488173439,0.0197615496057813
NAM,2020,IPC/CH,1164920,650670,426310,14300,0,2256200,440610,0.195288538250155,0.0672088762816535,0.0238114233371746
NAM,2021,IPC/CH,995583,896057,556959,101631,0,2550230,658590,0.258247295341989,0.0993663316642028,0.0419780438104276
NAM,2022,IPC/CH,964177,835738,631699,118616,0,2550230,750315,0.294214639463891,0.113575507568598,0.0481944765766225
NER,2021,IPC/CH,15680004,5366338,1648008,83296,0,22777646,1731304,0.076008908032024,0.0265552755832041,0.00966440713164321
NER,2022,IPC/CH,13217392,7313342,3976601,425805,0,24933140,4402406,0.176568454675183,0.0645487759129683,0.0253113415407054
NGA,2021,IPC/CH,61505746,28759909,11735360,1225617,0,103226632,12960977,0.125558460533712,0.0458105100887789,0.0179086299701763
NGA,2022,IPC/CH,98827486,40785233,18276846,1176459,0,159066024,19453305,0.12229704691682,0.0432310296509329,0.0160539081138618
PAK,2017,IPC/CH,1472462,1233480,1307208,1387416,0,5400566,2694624,0.498952146867569,0.251951369541637,0.141073114682177
PAK,2019,IPC/CH,1497679,1395703,2055794,1011915,0,5961091,3067709,0.514622071697949,0.228125131232968,0.113764670855646
PAK,2020,IPC/CH,2318822,1465508,864696,371411,0,5020437,1236107,0.246215020724292,0.106731611876284,0.052017162826441
PAK,2021,IPC/CH,5592605,5334160,2829939,991380,0,14748084,3821319,0.259106132023658,0.108775689099682,0.0511965486499806
PAK,2022,IPC/CH,7447919,6451422,3655630,1030258,0,18585229,4685888,0.252129688582261,0.10252130872318,0.0464924890382333
SDN,2019,IPC/CH,24246160,11835391,4809357,1043457,0,41934365,5852814,0.139570826933948,0.0548179756626814,0.0238022363440264
SDN,2020,IPC/CH,19728061,15891382,7410683,2168006,0,45198132,9578689,0.211926656614924,0.0866311244898351,0.0395363119087409
SDN,2021,IPC/CH,20273403,16525671,7072764,2696712,0,46568550,9769476,0.209786991435207,0.0892318098802733,0.0426124784502273
SDN,2022,IPC/CH,18647974,17580269,8549911,3103035,0,47881189,11652946,0.243372110078553,0.102726361564107,0.0486436704355395
SEN,2021,IPC/CH,12604053,3587866,826594,23101,0,17041614,849695,0.0498600073913187,0.0170718571609473,0.00599185551843205
SEN,2022,IPC/CH,12913552,3943944,872421,8855,0,17738772,881276,0.0496807783537665,0.0167266557872965,0.00568648281979284
SLE,2021,IPC/CH,3445415,3296176,1284251,75111,0,8100953,1359362,0.167802726419966,0.059024866169038,0.0217353714090456
SLE,2022,IPC/CH,3426662,3573464,1579319,26400,0,8605845,1605719,0.186584699120191,0.0632174605360272,0.0217541940648736
SLV,2017,IPC/CH,2279836,222825,0,0,0,2502661,0,0,0,0
SLV,2018,IPC/CH,2227948,230312,0,0,0,2458260,0,0,0,0
SLV,2019,IPC/CH,608307,472842,239228,63030,0,1383407,302258,0.218488123885451,0.088016517674601,0.0394636012556118
SLV,2020,IPC/CH,3852078,2243246,589235,94885,0,6779444,684120,0.100910930158874,0.0383023052234569,0.0158776540770403
SLV,2021,IPC/CH,3194714,2541069,932779,110884,0,6779446,1043663,0.153945174871221,0.0567670278662888,0.0225569890060174
SLV,2022,IPC/CH,2132030,3286976,845945,60878,0,6325829,906823,0.143352436494885,0.0509920517927374,0.0191359547938741
SOM,2017,IPC/CH,7015439,2434728,1966338,667991,0,12084496,2634329,0.217992459098005,0.0910897180431301,0.0426469493546846
SOM,2018,IPC/CH,7683897,2220646,1771717,429658,0,12105918,2201375,0.181842880482092,0.0724448158330496,0.0320352868370293
SOM,2019,IPC/CH,6001699,4226264,1650652,434254,0,12312869,2084906,0.169327392340485,0.0681985652572118,0.030570255848215
SOM,2020,IPC/CH,7212270,3011769,1703277,400221,0,12327537,2103498,0.170634085300251,0.0676998982035098,0.0297812125812318
SOM,2021,IPC/CH,8558587,3712900,2824960,640730,0,15737177,3465690,0.220223106088214,0.0869791746427372,0.0380407066231341
SOM,2022,IPC/CH,4605708,4060200,4730510,2127580,213180,15737178,7071270,0.449335325558369,0.203874121099306,0.107032107874317
SSD,2017,IPC/CH,1583068,3155422,3981886,2026137,38588,10785101,6046611,0.560644819181573,0.251888353510397,0.128095704538243
SSD,2018,IPC/CH,1109340,2973884,4496372,2310365,138999,11028960,6945736,0.629772526149338,0.288153461432447,0.151004698337629
SSD,2019,IPC/CH,1183153,3243289,5120349,1820561,20972,11388324,6961882,0.611317521349059,0.25828755252602,0.12284844450236
SSD,2020,IPC/CH,1929798,3286009,4737896,1744212,0,11697915,6482108,0.55412507271595,0.234409864207995,0.111270959160006
SSD,2021,IPC/CH,1679000,3138392,4725175,2397566,63783,12003916,7186524,0.598681630228002,0.269680216578212,0.137820635643679
SSD,2022,IPC/CH,1699578,2909046,4759542,2893794,86943,12348903,7740279,0.626798914850979,0.291738707478713,0.154014625158742
SSD,2023,IPC/CH,1530760,3077479,4821272,2900752,43810,12374073,7765834,0.627589153547098,0.289697283451725,0.151019797604233
SWZ,2017,IPC/CH,556800,176200,155870,21130,0,910000,177000,0.194505494505495,0.0725750915750916,0.0293516483516484
SWZ,2018,IPC/CH,703378,224139,124277,41446,0,1093240,165723,0.151588855146171,0.0631666727647482,0.0294802605100435
SWZ,2019,IPC/CH,401790,301401,168105,78530,0,949826,246635,0.259663348866003,0.114113883314769,0.0564109169001012
SWZ,2020,IPC/CH,378611,384285,306623,59638,0,1129157,366261,0.324366762106598,0.125727718407036,0.0536462157166807
SWZ,2021,IPC/CH,348947,432786,287786,59638,0,1129157,347424,0.307684405268709,0.120166932794406,0.0517926205124708
SWZ,2022,IPC/CH,459813,375617,286260,49543,0,1171233,335803,0.286708963972156,0.109669610288189,0.0459565071832657
TCD,2021,IPC/CH,11187958,2854081,1094537,54458,0,15191034,1148995,0.0756363918348152,0.0264070898662988,0.00959900279189539
