iso3,area,year,1,2,3,4,5,N,3+,fi_0,fi_1,fi_2
AFG,"Cluster 7:Shuhada, Tagab, Tashkan, Wardooj",2017,37391,28948,36185,18092,0,120616,54277,0.449998341845195,0.199998341845195,0.0999987103240403
AFG,"Cluster 8: Baharak, Jurm, Kishm, Faiz Abad",2017,22679,102055,68036,34018,0,226788,102054,0.449997354357373,0.199998824158833,0.0999994120794163
AFG,"Cluster 9: Khwahan, Shahri Buzurg",2017,21793,18161,21793,10896,0,72643,32689,0.449995181917046,0.199996329079654,0.0999973997647552
AFG,Daykundi,2017,114216,109457,204637,47590,0,475900,252227,0.53,0.21,0.0922222222222222
AFG,Daykundi,2018,74826,343915,687830,275132,0,1381703,962962,0.696938488227933,0.298687923526257,0.14381270392005
AFG,Daykundi,2019,126903,101522,203044,101522,0,532991,304566,0.571428035370203,0.25396801572009,0.126984007860045
AFG,Daykundi,2020,154951,228425,154951,129126,0,667453,284077,0.425613488889854,0.206358100620318,0.111777325311462
AFG,Daykundi,2021,132990,199484,274637,171648,0,778759,446285,0.573072028702076,0.264494749552386,0.137145409840814
AFG,Daykundi,2022,137319,205978,240308,137319,0,720924,377627,0.523809721967919,0.238095370200835,0.12169320976352
AFG,Farah,2017,210630,236959,52658,26329,0,526576,78987,0.150001139436663,0.0666671730829611,0.0333335865414806
AFG,Farah,2018,75372,150744,200992,80056,0,507164,281048,0.554156052085716,0.237335457564023,0.114189668211641
AFG,Farah,2019,165917,193570,221223,55306,0,636016,276529,0.434783087217932,0.173913339706339,0.0772948758801316
AFG,Farah,2020,225210,197059,140757,84454,0,647480,225211,0.347826959906097,0.159420625604909,0.0821257456257765
AFG,Farah,2021,253694,281513,261952,112265,0,909424,374217,0.411487930822147,0.17831140003636,0.0868696376314385
AFG,Farah,2022,261952,261952,187109,74844,0,785857,261953,0.333334181664094,0.142857627617578,0.0687833650255567
AFG,Faryab,2017,362731,362731,145093,165820,0,1036375,310913,0.30000048245085,0.153333494150283,0.0866667202723167
AFG,Faryab,2018,234078,280893,327709,93631,0,936311,421340,0.45000005340106,0.18333331553298,0.0833333036660777
AFG,Faryab,2019,326768,272307,381230,108923,0,1089228,490153,0.450000367232572,0.183333516949619,0.0833334353423811
AFG,Faryab,2020,333470,290841,436261,145420,0,1205992,581681,0.482325753404666,0.200968994819203,0.0937854940626103
AFG,Faryab,2021,242367,313677,518220,388665,0,1462929,906885,0.61991046728857,0.295195460613605,0.157437578993922
AFG,Faryab,2022,129555,518220,453443,259110,0,1360328,712553,0.523809698837339,0.238095273100801,0.121693117803615
AFG,Faryab Urban,2020,40937,54582,48914,27951,0,172384,76865,0.445894050491925,0.202679289647918,0.103591722871934
AFG,Faryab Urban,2021,41926,48914,62633,53685,0,207158,116318,0.56149412525705,0.273548048671385,0.14877157639204
AFG,Faryab Urban,2022,35790,62633,53685,26843,0,178951,80528,0.450000279406094,0.200000745082918,0.100000682992675
AFG,Ghazni,2017,420116,445578,318270,89116,0,1273080,407386,0.320000314198636,0.130000209465758,0.0588890285327273
AFG,Ghazni,2018,374781,437244,312317,124927,0,1249269,437244,0.349999879929783,0.149999986658865,0.0722222355633575
AFG,Ghazni,2019,535439,669299,200790,66930,0,1472458,267720,0.181818428776916,0.0757576786570483,0.0353535833732892
AFG,Ghazni,2020,476876,535439,401579,200790,0,1614684,602369,0.37305689534299,0.165803133409798,0.0829016011113561
AFG,Ghazni,2021,476876,613127,633917,452798,0,2176718,1086715,0.499244734503964,0.235754470721517,0.124811196387303
AFG,Ghazni,2022,452798,724476,543357,181119,0,1901750,724476,0.380952280794006,0.158730116997502,0.0740740545988344
AFG,Ghor,2017,71335,356677,199739,85602,0,713353,285341,0.399999719633898,0.173333071658305,0.0844442450729941
AFG,Ghor,2018,109574,182624,328722,109574,0,730494,438296,0.599999452425345,0.249999771843894,0.116666560193817
AFG,Ghor,2019,112688,150251,375627,150251,0,788817,525878,0.666666666666667,0.28571434608196,0.137566197933812
AFG,Ghor,2020,262939,338064,267565,191118,0,1059686,458683,0.432848032341656,0.204400485930109,0.10821203429863
AFG,Ghor,2021,191118,267565,406488,304866,0,1170037,711354,0.607975645214639,0.289512212006971,0.154406513070384
AFG,Ghor,2022,152433,355677,254055,254055,20324,1036544,528434,0.509803732403063,0.264705598604594,0.155773094694163
AFG,Helmand,2018,194976,324959,584927,194976,0,1299838,779903,0.600000153865328,0.250000128221107,0.116666760695478
AFG,Helmand Urban,2020,29398,35126,40144,15054,0,119722,55198,0.461051435826331,0.195597578835413,0.0931417042073396
AFG,Helmand Urban,2021,30108,41794,40476,23882,0,136260,64358,0.472317628063995,0.215861832770683,0.110902359867573
AFG,Helmand Urban,2022,23882,41794,41794,17912,0,125382,59706,0.476192754940901,0.206350725516156,0.100530113307067
AFG,Hilmand,2017,278745,432536,182626,67283,0,961190,249909,0.259999583849187,0.109999757245359,0.0522220719455397
AFG,Hilmand,2019,497239,710341,355171,71034,0,1633785,426205,0.260869698277313,0.101449293103642,0.0434782490420166
AFG,Hilmand,2020,396806,859747,538348,201880,0,1996781,740228,0.370710658805347,0.157271127880323,0.0748909814791351
AFG,Hilmand,2021,471054,721233,540925,270462,0,2003674,811387,0.404949607570892,0.179977547911154,0.0899887462287334
AFG,Hilmand,2022,360616,721233,631079,270462,0,1983390,901541,0.454545500380661,0.196969666412892,0.0959595552171899
AFG,Hirat,2017,787585,846654,196896,137827,0,1968962,334723,0.169999725743818,0.0799998510213334,0.0422221341893738
AFG,Hirat,2018,215646,431291,575055,215646,0,1437638,790701,0.55000006955854,0.233333426078053,0.111111188398378
AFG,Hirat,2019,628535,628535,733291,209512,0,2199873,942803,0.428571558449056,0.17460326118826,0.0793651370884693
AFG,Hirat,2020,585164,520992,512019,223282,0,1841457,735301,0.399303920754055,0.173518939984299,0.0847847353722864
AFG,Hirat,2021,446564,595419,725977,622266,0,2390226,1348243,0.564065071671047,0.274800932352561,0.149453138647884
AFG,Hirat,2022,414844,725977,622266,311133,0,2074220,933399,0.45,0.2,0.1
AFG,Hirat Urban,2020,252882,195634,221272,130423,0,800211,351695,0.43950283112829,0.200829531211143,0.103162235404856
AFG,Hirat Urban,2021,195634,260846,269988,154279,0,880747,424267,0.481712682529716,0.218960344646836,0.111913081862454
AFG,Hirat Urban,2022,115709,308558,269988,154279,0,848534,424267,0.5,0.227272762984944,0.116161651873833
AFG,Jawzjan,2017,233287,244667,73969,17070,0,568993,91039,0.160000210898904,0.0633335266573285,0.0277779242353499
AFG,Jawzjan,2018,169106,197290,169106,45321,0,580823,214427,0.369177873465755,0.149068936090111,0.0670294086532769
AFG,Jawzjan,2019,236346,265890,88630,29543,0,620409,118173,0.190475960213343,0.079364849102232,0.0370368579437113
AFG,Jawzjan,2020,115294,184470,211166,70389,0,581319,281555,0.484338203292856,0.201807728057515,0.0941770162146582
AFG,Jawzjan,2021,93851,216214,223252,191359,0,724676,414611,0.572132925610894,0.278731460680359,0.151590810544605
AFG,Jawzjan,2022,95679,255145,159466,127572,0,637862,287038,0.450000156773722,0.216666509892944,0.11666647505434
AFG,Jawzjan Urban,2020,38908,46489,53130,19924,0,158451,73054,0.461051050482484,0.195597797847074,0.0931420088509662
AFG,Jawzjan Urban,2021,39848,53130,62948,40623,0,196549,103571,0.526947478745758,0.244542921442829,0.12744348172155
AFG,Jawzjan Urban,2022,24374,56873,48748,32499,0,162494,81247,0.5,0.233333743604892,0.122222632493781
AFG,Kabul,2017,2621649,1334658,714995,95333,0,4766635,810328,0.17000001048958,0.0633333578090204,0.0255555777002248
AFG,Kabul,2018,431829,158337,90269,57577,0,738012,147846,0.200330075933725,0.0927821408504649,0.0482643461985261
