iso3,year,source,1,2,3,4,5,N,3+,fi_0,fi_1,fi_2
SDN,2022,IPC/CH,22396030,17746491,8549911,3103035,0,51795467,11652946,0.224980035415068,0.0949631428814675,0.0449675794558968
SEN,2021,IPC/CH,12604053,3587866,826594,23101,0,17041614,849695,0.0498600073913187,0.0170718571609473,0.00599185551843205
SEN,2022,IPC/CH,12913552,3943944,872421,13071,0,17742988,885492,0.0499065884506037,0.0168810912795522,0.00579073829052919
SLE,2021,IPC/CH,3445415,3296176,1284251,75111,0,8100953,1359362,0.167802726419966,0.059024866169038,0.0217353714090456
SLE,2022,IPC/CH,3711267,3573464,1579319,26400,0,8890450,1605719,0.180611667575882,0.061193715353741,0.0210577892257672
SLV,2017,IPC/CH,2279836,222825,0,0,0,2502661,0,0,0,0
SLV,2018,IPC/CH,2227948,230312,0,0,0,2458260,0,0,0,0
SLV,2019,IPC/CH,770267,472842,239228,63030,0,1545367,302258,0.195589785468436,0.0787920711822284,0.0353276744114649
SLV,2020,IPC/CH,3852078,2243246,589235,94885,0,6779444,684120,0.100910930158874,0.0383023052234569,0.0158776540770403
SLV,2021,IPC/CH,3355639,3124836,932779,121209,0,7534463,1053988,0.139888934354048,0.0519920707465593,0.0209056408901043
SLV,2022,IPC/CH,2132030,3286976,845945,60878,0,6325829,906823,0.143352436494885,0.0509920517927374,0.0191359547938741
SOM,2017,IPC/CH,8131797,3081562,2003740,667991,0,13885090,2671731,0.192417261969494,0.0801752575364414,0.037415865987665
SOM,2018,IPC/CH,8621010,3202056,1771717,429658,17131,14041572,2218506,0.157995557762336,0.0636781978542004,0.028839189483596
SOM,2019,IPC/CH,7619936,4226264,1650652,434254,0,13931106,2084906,0.149658325763942,0.0602766212531869,0.0270192155278666
SOM,2020,IPC/CH,8524196,3011769,1703277,400221,0,13639463,2103498,0.15422146751672,0.0611881127578117,0.0269166755318739
SOM,2021,IPC/CH,10143857,3712900,2824960,640730,0,17322447,3465690,0.200069308914612,0.0790192440286679,0.0345593976031985
SOM,2022,IPC/CH,9859298,4060200,4730510,2127580,213180,20990768,7071270,0.336875239629155,0.152848306137886,0.0802440069526438
SSD,2017,IPC/CH,3609425,4589186,4263105,2026137,101549,14589402,6390791,0.438043382449808,0.196947208665578,0.101151004452867
SSD,2018,IPC/CH,1966433,4343933,4517175,2310365,138999,13276905,6966539,0.524711067827931,0.239887785092485,0.125611821597143
SSD,2019,IPC/CH,2433761,4733558,5120349,1821162,44691,14153521,6986202,0.493601698121619,0.209529628705112,0.100542048865438
SSD,2020,IPC/CH,2543566,4081151,4737896,2046566,45783,13454962,6830245,0.507637628408018,0.222182641615785,0.110130432012946
SSD,2021,IPC/CH,2365000,3868392,4725175,2397566,63783,13419916,7186524,0.535511846720948,0.241224957493524,0.123278516298711
SSD,2022,IPC/CH,2146813,3369833,4759542,2893794,86943,13256925,7740279,0.583866846949802,0.271756308495371,0.143465522107628
SWZ,2017,IPC/CH,646450,176200,155870,21130,0,999650,177000,0.177061971690092,0.0660664565931409,0.0267193517731206
SWZ,2018,IPC/CH,834580,224139,124277,41446,0,1224442,165723,0.135345732995111,0.0563982069655674,0.0263213774110983
SWZ,2019,IPC/CH,401790,370498,185181,78530,0,1035999,263711,0.254547542999559,0.110116258155976,0.0535501374894077
SWZ,2020,IPC/CH,393953,404887,306623,59638,0,1165101,366261,0.314359870946811,0.121848949862144,0.0519912007628523
SWZ,2021,IPC/CH,570374,472349,287786,59638,0,1390147,347424,0.24991889346954,0.0976064641605048,0.0420689322783849
SWZ,2022,IPC/CH,560013,438477,286260,49543,0,1334293,335803,0.25167110971878,0.0962672116743974,0.0403402984035574
SYR,2019,HNO,,,,,,15476721,9086206,0.587088569988436,,
SYR,2020,HNO,,,,,,13600000,9800000,0.720588235294118,,
SYR,2021,HNO,,,,,,14200000,14200000,1,,
SYR,2022,HNO,,,,,,14560823,13882054,0.953383884963096,,
TCD,2017,HNO,,,,,,4300000,4300000,1,,
TCD,2018,HNO,,,,,,4859413,3996216,0.822365993588115,,
TCD,2019,HNO,,,,,,4269261,3716006,0.870409656378469,,
TCD,2020,HNO,,,,,,6400000,5900000,0.921875,,
TCD,2021,IPC/CH,11187958,2854081,1094537,54458,0,15191034,1148995,0.0756363918348152,0.0264070898662988,0.00959900279189539
TCD,2022,IPC/CH,9979880,4026354,1997572,143413,0,16147219,2140985,0.132591562670947,0.047157717994659,0.0176929262900042
TGO,2021,IPC/CH,4171219,622601,38911,0,0,4832731,38911,0.0080515551144891,0.0026838517048297,0.000894617234943233
TGO,2022,IPC/CH,4324763,1399163,481942,0,0,6205868,481942,0.0776590800835596,0.0258863600278532,0.00862878667595107
TZA,2017,IPC/CH,135631,604902,101116,17952,0,859601,119068,0.138515427506483,0.0531331784552756,0.0223519723427239
TZA,2020,IPC/CH,2505082,1845773,760566,224711,0,5336132,985277,0.184642546323817,0.0755845869879781,0.0345529100271299
TZA,2022,IPC/CH,2182032,929126,496786,94936,0,3702880,591722,0.159800479626669,0.0618129672039061,0.0263017495090908
UGA,2017,IPC/CH,30831591,9243678,1600667,0,0,41675936,1600667,0.0384074637219906,0.0128024879073302,0.00426749596911006
UGA,2018,IPC/CH,985792,1321643,277265,0,0,2584700,277265,0.107271636940457,0.0357572123134858,0.0119190707711619
UGA,2019,IPC/CH,792793,1316955,461378,13574,0,2584700,474952,0.183755174681781,0.0630022826633652,0.0221677994007471
UGA,2020,IPC/CH,4938392,4542832,1980055,622795,0,12084074,2602850,0.215395072886843,0.088977856309056,0.0411122845564243
UGA,2021,IPC/CH,548535,470610,285770,75140,0,1380055,360910,0.261518562665981,0.10532188934499,0.0472066531969942
UGA,2022,IPC/CH,431085,499840,427950,89900,0,1448775,517850,0.357439906127591,0.139830776575613,0.0603996863250371
UKR,2018,HNO,,,,,,3400000,1600000,0.470588235294118,,
UKR,2019,HNO,,,,,,3500000,3588599,1.025314,,
UKR,2020,HNO,,,,,,3400000,1010000,0.297058823529412,,
UKR,2021,HNO,,,,,,3400000,1520000,0.447058823529412,,
UKR,2022,HNO,,,,,,15700000,10200000,0.64968152866242,,
VEN,2019,HNO,,,,,,7037319,3671990,0.521788198033939,,
VEN,2020,HNO,,,,,,7015803,5288140,0.753746933886256,,
VEN,2021,HNO,,,,,,7e+06,7e+05,0.1,,
YEM,2017,IPC/CH,5128620,6139700,10187750,6778930,0,28235000,16966680,0.600909509474057,0.28033303819137,0.14679759164158
YEM,2018,IPC/CH,5094266,8877440,10904049,4970798,59812,29906365,15934659,0.532818314763429,0.234343436032207,0.116383805104885
YEM,2019,IPC/CH,364958,769586,840646,385901,0,2361091,1226547,0.519483154185925,0.227641656618346,0.11220095568814
YEM,2020,IPC/CH,6544500,10020000,9815000,3648000,16500,30044000,13479500,0.448658634003462,0.190392979186083,0.0908131037441382
YEM,2021,IPC/CH,5258000,8644500,11042000,5058000,47000,30049500,16147000,0.537346711259755,0.236265717122304,0.117202911492334
YEM,2022,IPC/CH,5784500,8557000,11715000,7140500,161000,33358000,19016500,0.570073145872055,0.264594200291784,0.138983818640872
ZAF,2020,IPC/CH,34950496,14844785,8175072,1430169,0,59400522,9605241,0.161702972913268,0.0619265601739998,0.0259925661932735
ZAF,2021,IPC/CH,29966233,18362332,9598772,2197175,0,60124512,11795947,0.196191979071697,0.0775785756065679,0.0339803580350797
ZMB,2018,IPC/CH,4475118,1991708,876392,375146,0,7718364,1251538,0.162150683745934,0.0702516750959141,0.03421818981904
ZMB,2019,IPC/CH,4768511,3127729,1866273,411883,0,10174396,2278156,0.223910687179858,0.0881309973257053,0.0383730668412924
ZMB,2020,IPC/CH,2940781,2387270,1651434,324923,0,7304408,1976357,0.270570455538628,0.105017865011557,0.0448910971140836
ZMB,2021,IPC/CH,6250006,5184816,1575160,238917,0,13248899,1814077,0.136922849211848,0.0516519397825686,0.0212246399577136
ZWE,2019,IPC/CH,4608137,2873304,2474752,1106533,0,11062726,3581285,0.323725363893131,0.141249634131768,0.0693106643777392
ZWE,2020,IPC/CH,4222509,2878146,3294336,1047090,0,11442081,4341426,0.379426259960928,0.156979486511239,0.0726625398532546
ZWE,2021,IPC/CH,3221157,3104737,2611638,768595,0,9706127,3380233,0.348257652099545,0.142481410625131,0.0650908212696761
